Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
European Planning Studies,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.7,1.277,Taylor & Francis,"Geography, Planning and Development"
European Policy Analysis,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,0.887,John Wiley & Sons,Political Science and International Relations
European Security,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,1.669,Taylor & Francis,Political Science and International Relations
European Societies,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.2,1.071,MIT Press,Demography
European Sociological Review,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,1.604,Oxford University Press,Sociology and Political Science
European Union Politics,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.4,1.359,SAGE,Demography
European Urban and Regional Studies,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.7,1.027,SAGE,Urban Studies
Evolutionary Anthropology,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,1.329,John Wiley & Sons,Anthropology
Extractive Industries and Society,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,1.676,Elsevier,"Geography, Planning and Development"
Food Policy,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.0,2.011,Elsevier,Sociology and Political Science
Food Security,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.4,1.503,Springer Nature,Development
Foreign Affairs,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.0,0.763,"Council on Foreign Relations, Inc.",Political Science and International Relations
Forest Policy and Economics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.285,Elsevier,Sociology and Political Science
Futures,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,1.426,Elsevier,Sociology and Political Science
