Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
Scientometrics,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,1.077,Springer Nature,General Social Sciences
Sex Roles,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.5,1.225,Springer Nature,Gender Studies
Sexualities,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.8,0.742,SAGE,Anthropology
Sexuality Research and Social Policy,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.0,1.082,Springer Nature,Gender Studies
Sleep Health,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,1.363,Elsevier,Social Sciences (miscellaneous)
Smart Cities,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.0,1.193,Multidisciplinary Digital Publishing Institute (MDPI),Urban Studies
Smart Learning Environments,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,33.4,4.239,Springer Nature,Education
Social Issues and Policy Review,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,15.0,2.273,John Wiley & Sons,Sociology and Political Science
Social Network Analysis and Mining,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,0.675,Springer Nature,Communication
Social Networks,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,1.203,Elsevier,Anthropology
Social Policy and Society,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,0.734,Cambridge University Press,Political Science and International Relations
Social Problems,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.695,Oxford University Press,Sociology and Political Science
Social Responsibility Journal,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.6,0.973,Emerald Publishing,Social Sciences (miscellaneous)
Social Science Journal,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.4,0.536,Taylor & Francis,Sociology and Political Science
Socio-Economic Planning Sciences,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.9,1.22,Elsevier,"Geography, Planning and Development"
Sociologia Ruralis,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.1,1.231,John Wiley & Sons,Sociology and Political Science
Sociological Methods and Research,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,16.2,3.471,SAGE,Sociology and Political Science
Sociological Theory,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,2.457,SAGE,Sociology and Political Science
Sociology,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.6,1.558,SAGE,Sociology and Political Science
Sociology of Education,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,1.601,SAGE,Sociology and Political Science
Sociology of Race and Ethnicity,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.7,1.381,SAGE,Anthropology
South African Journal of Chemical Engineering,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.4,0.962,Elsevier,Education
Sports Coaching Review,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.2,1.096,Taylor & Francis,Social Sciences (miscellaneous)
Strategic Organization,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.8,4.36,SAGE,Education
Studies in Conflict and Terrorism,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.7,0.79,Taylor & Francis,Political Science and International Relations
Studies in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.4,1.99,Taylor & Francis,Education
Studies in Science Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,27.1,3.3,Taylor & Francis,Education
Sustainability (Switzerland),,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,0.75,Multidisciplinary Digital Publishing Institute (MDPI),"Geography, Planning and Development"
Sustainability Science,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.4,1.554,Springer Nature,Sociology and Political Science
"Sustainability: Science, Practice, and Policy",,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.2,1.381,Taylor & Francis,"Geography, Planning and Development"
Sustainable Development,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.6,1.799,John Wiley & Sons,Development
System Dynamics Review,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.0,1.097,John Wiley & Sons,Social Sciences (miscellaneous)
Teaching and Teacher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.5,1.779,Elsevier,Education
Teaching in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.2,1.715,Taylor & Francis,Education
TechTrends,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.9,1.506,Springer Nature,Education
Technology in Society,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,25.4,2.788,Elsevier,Sociology and Political Science
"Technology, Knowledge and Learning",,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.8,1.39,Springer Nature,Education
"Technology, Pedagogy and Education",,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,0.903,Taylor & Francis,Communication
Telecommunications Policy,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.7,1.519,Elsevier,Communication
"Territory, Politics, Governance",,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.6,0.999,Taylor & Francis,Political Science and International Relations
Terrorism and Political Violence,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,1.328,Taylor & Francis,Political Science and International Relations
Thinking Skills and Creativity,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.2,1.715,Elsevier,Education
Tourism Economics,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.0,0.998,SAGE,"Geography, Planning and Development"
Tourism Geographies,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.7,1.4,Taylor & Francis,"Geography, Planning and Development"
Tourism Management,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,24.3,4.496,Elsevier,Development
Tourism Planning and Development,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.8,0.753,Taylor & Francis,Development
Tourism Review,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,18.8,2.279,Emerald Publishing,"Geography, Planning and Development"
Tourism and Hospitality Research,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.2,0.706,SAGE,"Geography, Planning and Development"
Transactions of the Association for Computational Linguistics,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,30.7,2.144,MIT Press,Communication
Transgender Health,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.7,0.799,SAGE,Gender Studies
Transportation,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.2,1.089,Springer Nature,Development
Travel Behaviour and Society,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.3,1.641,Elsevier,"Geography, Planning and Development"
Urban Climate,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.2,1.714,Elsevier,Urban Studies
Urban Education,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.2,1.711,SAGE,Urban Studies
Urban Geography,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.4,1.337,Taylor & Francis,Urban Studies
Urban Governance,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,0.873,Elsevier,Sociology and Political Science
Urban Studies,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.9,1.809,SAGE,Urban Studies
User Modeling and User-Adapted Interaction,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.7,0.855,Springer Nature,Education
Vehicular Communications,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.4,1.326,Elsevier,Communication
Water Alternatives,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.1,0.94,Water Alternatives Association,Political Science and International Relations
Water Resources and Industry,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.4,1.417,Elsevier,"Geography, Planning and Development"
West European Politics,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.7,2.643,Taylor & Francis,Political Science and International Relations
Wiley Interdisciplinary Reviews: Climate Change,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,20.4,3.382,John Wiley & Sons,"Geography, Planning and Development"
Work and Occupations,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.1,2.84,SAGE,Sociology and Political Science
"Work, Aging and Retirement",,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,1.396,Oxford University Press,Sociology and Political Science
"Work, Employment and Society",,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,9.0,2.204,SAGE,Sociology and Political Science
World Bank Research Observer,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.8,1.985,Oxford University Press,Development
World Development,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A,9.3,2.027,Elsevier,Sociology and Political Science
World Development Sustainability,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.8,0.934,Elsevier,Social Sciences (miscellaneous)
World Economy,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.6,1.0,John Wiley & Sons,Political Science and International Relations
